City,CVI_Overall
Agra,0.14849253310791774
Amritsar,0.044287123133276984
Asansol,0.0904902789518174
Aurangabad,0.13528458720766415
Bhopal,0.3064313891236968
Chandigarh City,0.06234854888701042
Dhanbad,0.049901380670611444
Durg-Bhilainagar,0.09791490560721329
Faridabad,0.22730346576500424
Gwalior,0.23317131586362358
Jabalpur,0.16079881656804734
Jamshedpur,0.046252465483234716
Jodhpur,0.20579740772048463
Kannur,0.06172865595942519
Kollam,0.10998872921949844
Kota,0.16792758523527754
Ludhiana,0.08517187940264863
Madurai,0.04608340377571146
Malappuram,0.06574387151310228
Meerut,0.10675542406311637
Nasik,0.1014792899408284
Prayagraj,0.07751479289940827
Raipur,0.12325302902225978
Rajkot,0.058143138912369684
Ranchi,0.05018315018315019
Srinagar,0.05794590025359256
Thiruvananthapuram,0.09683009298393913
Thrissur,0.12781769512538743
Tiruchirapalli,0.022140039447731755
Vadodara,0.04513947590870667
Varanasi,0.10664271625810089
Vasai Virar,0.18526345449422368
Vijayawada,0.3036066497604959
Vishakhapatnam,0.20166948436179202
